date,date_pretty,day_description,morning_prayers_together,evening_prayers_together
2022/01/11,"Tuesday, January 11, 2022",Week of 1st Sunday after the Epiphany,Psalm 9; Genesis 1:20–2:3; Matthew 21:18–32,Psalm 45; Amos 2; 1 Corinthians 1:18–end
2022/01/12,"Wednesday, January 12, 2022",Week of 1st Sunday after the Epiphany,Psalm 20; Genesis 2:4–end; Matthew 21:33–end,Psalm 47; Amos 3; 1 Corinthians 2
2022/01/13,"Thursday, January 13, 2022",Week of 1st Sunday after the Epiphany,Psalm 21; Genesis 3; Matthew 22:1–14,Psalm 61; Amos 4; 1 Corinthians 3
2022/01/14,"Friday, January 14, 2022",Week of 1st Sunday after the Epiphany,"Psalm 67; Genesis 4:1–16,4:25–26; Matthew 22:15–33",Psalm 68; Amos 5:1–17; 1 Corinthians 4
2022/01/15,"Saturday, January 15, 2022",Week of 1st Sunday after the Epiphany,Psalm 33; Genesis 6:1–10; Matthew 22:34–end,Psalm 85; Amos 5:18–end; 1 Corinthians 5
2022/01/16,"Sunday, January 16, 2022",2nd Sunday after the Epiphany,Psalm 145:1-13; Isaiah 49:1-7; Acts 16:11-15,Psalm 96; 1 Samuel 3:1-20; Ephesians 4:1-16
2022/01/17,"Monday, January 17, 2022",Week of 2nd Sunday after the Epiphany,Psalm 146; Genesis 6:11–7:10; Matthew 24:1–14,Psalm 71; Amos 6; 1 Corinthians 6:1–11
2022/01/18,"Tuesday, January 18, 2022",Week of 2nd Sunday after the Epiphany,Psalm 132; Genesis 7:11–end; Matthew 24:15–28,Psalm 89:1-37; Amos 7; 1 Corinthians 6:12–end
2022/01/19,"Wednesday, January 19, 2022",Week of 2nd Sunday after the Epiphany,Psalm 81; Genesis 8:1–14; Matthew 24:29–end,Psalm 97; Amos 8; 1 Corinthians 7:1–24
2022/01/20,"Thursday, January 20, 2022",Week of 2nd Sunday after the Epiphany,Psalm 76; Genesis 8:15–9:7; Matthew 25:1–13,Psalm 111; Amos 9; 1 Corinthians 7:25–end
2022/01/21,"Friday, January 21, 2022",Week of 2nd Sunday after the Epiphany,Psalm 27; Genesis 9:8–19; Matthew 25:14–30,Psalm 73; Hosea 1:1–2:1; 1 Corinthians 8
2022/01/22,"Saturday, January 22, 2022",Week of 2nd Sunday after the Epiphany,Psalm 122; Genesis 11:1–9; Matthew 25:31–end,Psalm 61; Hosea 2:2–17; 1 Corinthians 9:1–14
2022/01/23,"Sunday, January 23, 2022",3rd Sunday after the Ephiphany,Psalm 113; Deuteronomy 30:11-15; 3 John 1:5-8,Psalm 33*; Numbers 9:15-23; 1 Corinthians 7:17-24
2022/01/24,"Monday, January 24, 2022",Week of 3rd Sunday after the Ephiphany,Psalm 108; Genesis 11:27–12:9; Matthew 26:1–16,Psalm 149; Isaiah 49:1-13; Acts 22:3-16
2022/01/25,"Tuesday, January 25, 2022",The Conversion of Paul,"Psalm 66,147:12-20; Ezekiel 3:22-27; Philippians 3:1-14",Psalm 119:41-56; Isaiah 56:1-8; Colossians 1:24-end; Colossians 2:1-7;
2022/01/26,"Wednesday, January 26, 2022",Week of 3rd Sunday after the Ephiphany,Psalm 46; Genesis 14; Matthew 26:36–46,Psalm 29; Hosea 5:1–7; 1 Corinthians 10:14–11:1
2022/01/27,"Thursday, January 27, 2022",Week of 3rd Sunday after the Ephiphany,Psalm 47; Genesis 15; Matthew 26:47–56,Psalm 24; Hosea 5:8–6:6; 1 Corinthians 11:2–16
2022/01/28,"Friday, January 28, 2022",Week of 3rd Sunday after the Ephiphany,Psalm 65; Genesis 16; Matthew 26:57–end,Psalm 67; Hosea 6:7–7:2; 1 Corinthians 11:17–end
2022/01/29,"Saturday, January 29, 2022",Week of 3rd Sunday after the Ephiphany,Psalm 68; Genesis 17:1–22; Matthew 27:1–10,Psalm 72; Hosea 8; 1 Corinthians 12:1–11
2022/01/30,"Sunday, January 30, 2022",4th Sunday after the Ephiphany,"Psalm 71:1-6,15-17; Micah 6:1-8; 1 Corinthians 6:12-20",Psalm 34; 1 Chronicles on 29:6-19; Acts 7:44-50
2022/01/31,"Monday, January 31, 2022",Week of 4th Sunday after the Ephiphany,Psalm 57; Genesis 18:1–15; Matthew 27:11–26,Psalm 20; Hosea 9; 1 Corinthians 12:12–end
2022/02/01,"Tuesday, February 1, 2022",Week of 4th Sunday after the Ephiphany,Psalm 93; Genesis 18:16–end; Matthew 27:27–44,Psalm 118; 1 Samuel 1:19b-28; Hebrews 4:11-16
2022/02/02,"Wednesday, February 2, 2022",Presentation of Jesus at the Temple,"Psalm 48,146; Exodus 13:1-16; Rom 12:1-5","Psalm 122,123; Haggai 2:1-9; John 2:18-22"
2022/02/03,"Thursday, February 3, 2022",Week of 4th Sunday after the Ephiphany,Psalm 110; Genesis 21:1–21; Matthew 27:57–end,Psalm 86; Hosea 11:12–end; Hosea 12; 1 Corinthians 14:20–end
2022/02/04,"Friday, February 4, 2022",Week of 4th Sunday after the Ephiphany,Psalm 115; Genesis 22:1–19; Matthew 28:1–15,Psalm 147; Hosea 13:1–14; 1 Corinthians 16:1–9
2022/02/05,"Saturday, February 5, 2022",Week of 4th Sunday after the Ephiphany,Psalm 118; Genesis 23; Matthew 28:16–end,Psalm 150; Hosea 14; 1 Corinthians 16:10-end
2022/02/06,"Sunday, February 6, 2022",4th Sunday before Lent,"Psalm 3,4; Jeremiah 26:1-16; Acts 3:1-10",Psalm 2; Hosea 1; Colossians 3:1-22
2022/02/07,"Monday, February 7, 2022",Week of 4th Sunday before Lent,"Psalm 30; Leviticus 19:1–18,19:30–end; 1 Timothy 1:1–17",Psalm 28; 1 Chronicles 28:1–10; John 15:1–11
2022/02/08,"Tuesday, February 8, 2022",Week of 4th Sunday before Lent,Psalm 36; Leviticus 23:1–22; 1 Timothy 1:18–end; 1 Timothy 2,Psalm 33; 1 Chronicles 28:11–end; John 15:12–17
2022/02/09,"Wednesday, February 9, 2022",Week of 4th Sunday before Lent,Psalm 34; Leviticus 23:23–end; 1 Timothy 3,Psalm 119:33-56; 1 Chronicles 29:1–9; John 15:18–end
2022/02/10,"Thursday, February 10, 2022",Week of 4th Sunday before Lent,Psalm 37; Leviticus 24:1–9; 1 Timothy 4,Psalm 40; 1 Chronicles 29:10–20; John 16:1–15
2022/02/11,"Friday, February 11, 2022",Week of 4th Sunday before Lent,Psalm 31; Leviticus 25:1–24; 1 Timothy 5:1–16,Psalm 35; 1 Chronicles 29:21–end; John 16:16–22
2022/02/12,"Saturday, February 12, 2022",Week of 4th Sunday before Lent,"Psalm 42; Numbers 6:1–5,6:21–end; 1 Timothy 5:17–end",Psalm 46; 2 Chronicles 1:1–13; John 16:23–end
2022/02/13,"Sunday, February 13, 2022",3rd Sunday before Lent,"Psalm 7; Jeremiah 30:1-3,10-22; Acts 6","Psalm 6; Hosea 10:1-8,12; Galatians 4:8-20"
2022/02/14,"Monday, February 14, 2022",Week of 3rd Sunday before Lent,Psalm 44; Genesis 24:1–28; 1 Timothy 6:1–10,Psalm 47; 2 Chronicles 2:1–16; John 17:1–5
2022/02/15,"Tuesday, February 15, 2022",Week of 3rd Sunday before Lent,Psalm 48; Genesis 24:29–end; 1 Timothy 6:11–end,Psalm 50; 2 Chronicles 3; John 17:6–19
2022/02/16,"Wednesday, February 16, 2022",Week of 3rd Sunday before Lent,"Psalm 119:57-80; Genesis 25:7–11,25:19–end; 2 Timothy 1:1–14",Psalm 59; 2 Chronicles 5; John 17:20–end
2022/02/17,"Thursday, February 17, 2022",Week of 3rd Sunday before Lent,Psalm 57; Genesis 26:34–27:40; 2 Timothy 1:15–2:13,Psalm 62; 2 Chronicles 6:1–21; John 18:1–11
2022/02/18,"Friday, February 18, 2022",Week of 3rd Sunday before Lent,Psalm 51; Genesis 27:41–end; Genesis 28; 2 Timothy 2:14–end,Psalm 38; 2 Chronicles 6:22–end; John 18:12–27
2022/02/19,"Saturday, February 19, 2022",Week of 3rd Sunday before Lent,Psalm 68; Genesis 29:1–30; 2 Timothy 3,Psalm 66; 2 Chronicles 7; John 18:28–end
2022/02/20,"Sunday, February 20, 2022",2nd Sunday before Lent,Psalm 104:1-26; Jeremiah 28:1-11; Acts 14:8-17,Psalm 147; Genesis 1:1-2:3; Matthew 6:25-end
2022/02/21,"Monday, February 21, 2022",Week of 2nd Sunday before Lent,Psalm 71; Genesis 29:31–30:24; 2 Timothy 4:1–8,Psalm 72; 2 Chronicles 9:1–12; John 19:1–16
2022/02/22,"Tuesday, February 22, 2022",Week of 2nd Sunday before Lent,Psalm 73; Genesis 31:1–24; 2 Timothy 4:9–end,Psalm 74; 2 Chronicles 10:1–11:4; John 19:17–30
2022/02/23,"Wednesday, February 23, 2022",Week of 2nd Sunday before Lent,Psalm 77; Genesis 31:25–32:2; Titus 1,Psalm 119:81-104; 2 Chronicles 12; John 19:31–end
2022/02/24,"Thursday, February 24, 2022",Week of 2nd Sunday before Lent,Psalm 78:1-39*; Genesis 32:3–30; Titus 2,Psalm 78:40-end; 2 Chronicles 13:1–14:1; John 20:1–10
2022/02/25,"Friday, February 25, 2022",Week of 2nd Sunday before Lent,Psalm 55; Genesis 33:1–17; Titus 3,Psalm 69; 2 Chronicles 14:2–end; John 20:11–18
2022/02/26,"Saturday, February 26, 2022",Week of 2nd Sunday before Lent,Psalm 76; Genesis 35; Philemon,Psalm 84; 2 Chronicles 15:1–15; John 20:19–end
2022/02/27,"Sunday, February 27, 2022",The Sunday before Lent,Psalm 104:1-26; Jeremiah 28:1-11; Acts 14:8-17,Psalm 147; Genesis 1:1-2:3; Matthew 6:25-end
2022/02/28,"Monday, February 28, 2022",Week of the Sunday before Lent,Psalm 80; Genesis 37:1–11; Galatians 1,Psalm 85; Jeremiah 1; John 3:1–21
2022/03/01,"Tuesday, March 1, 2022",Shrove Tuesday,Psalm 89:1-18; Genesis 37:12–end; Galatians 2:1–10,Psalm 89:19-end; Jeremiah 2:1–13; John 3:22–end
2022/03/02,"Wednesday, March 2, 2022",Ash Wednesday,"Psalm 38; Daniel 9:3-6,17-19; 1 Timothy 6:6-19",Psalm 51; Isaiah 1:10-18; Luke 15:11-32
2022/03/03,"Thursday, March 3, 2022",1st day of Lent,Psalm 77; Genesis 39; Galatians 2:11–end,Psalm 74; Jeremiah 2:14–32; John 4:1–26
2022/03/04,"Friday, March 4, 2022",2nd day of Lent,Psalm 3; Genesis 40; Galatians 3:1–14,Psalm 31; Jeremiah 3:6–22; John 4:27–42
2022/03/05,"Saturday, March 5, 2022",3rd day of Lent,Psalm 71; Genesis 41:1–24; Galatians 3:15–22,Psalm 73; Jeremiah 4:1–18; John 4:43–end
2022/03/06,"Sunday, March 6, 2022",1st Sunday of Lent,Psalm 50:1-15; Micah 6:1-8; Luke 5:27-39,Psalm 119:73-88; Jonah 3; Luke 18:9-14
2022/03/07,"Monday, March 7, 2022",Week of 1st Sunday of Lent,Psalm 11; Genesis 41:25–45; Galatians 3:23–4:7,Psalm 13; Jeremiah 4:19–end; John 5:1–18
2022/03/08,"Tuesday, March 8, 2022",Week of 1st Sunday of Lent,Psalm 44; Genesis 41:46–42:5; Galatians 4:8–20,Psalm 49; Jeremiah 5:1–19; John 5:19–29
2022/03/09,"Wednesday, March 9, 2022",Week of 1st Sunday of Lent,Psalm 6; Genesis 42:6–17; Galatians 4:21–5:1,Psalm 28; Jeremiah 5:20–end; John 5:30–end
2022/03/10,"Thursday, March 10, 2022",Week of 1st Sunday of Lent,Psalm 42; Genesis 42:18–28; Galatians 5:2–15,Psalm 142; Jeremiah 6:9–21; John 6:1–15
2022/03/11,"Friday, March 11, 2022",Week of 1st Sunday of Lent,Psalm 22; Genesis 42:29–end; Galatians 5:16–end,Psalm 55; Jeremiah 6:22–end; John 6:16–27
2022/03/12,"Saturday, March 12, 2022",Week of 1st Sunday of Lent,Psalm 63; Genesis 43:1–15; Galatians 6,Psalm 4; Jeremiah 7:1–20; John 6:27–40
2022/03/13,"Sunday, March 13, 2022",2nd Sunday of Lent,"Psalm 119:161-176; Genesis 17:1-7,15-16; Romans 11:13-24","Psalm 135; Jeremiah 22:1-9,13-17; Luke 14:27-33"
2022/03/14,"Monday, March 14, 2022",Week of 2nd Sunday of Lent,Psalm 32; Genesis 43:16–end; Hebrews 1,Psalm 17; Jeremiah 7:21–end; John 6:41–51
2022/03/15,"Tuesday, March 15, 2022",Week of 2nd Sunday of Lent,Psalm 50; Genesis 44:1–17; Hebrews 2:1–9,Psalm 64; Jeremiah 8:1–15; John 6:52–59
2022/03/16,"Wednesday, March 16, 2022",Week of 2nd Sunday of Lent,Psalm 35; Genesis 44:18–end; Hebrews 2:10–end,Psalm 39; Jeremiah 8:18–9:11; John 6:60–end
2022/03/17,"Thursday, March 17, 2022",Week of 2nd Sunday of Lent,Psalm 34; Genesis 45:1–15; Hebrews 3:1–6,Psalm 59; Jeremiah 9:12–24; John 7:1–13
